pathway_id	pathway_name	sample_id	condition	abundance_rna	abundance_dna	log2fc	p_value	padj	direction
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1160.84125660685	-2.9384257182970983	0.1514731066914346	0.5025550622312621	down
PWY-6151	S-adenosyl-L-methionine salvage I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	44.8987484324	1487.09970216053	-1.233413893809167	0.31624505016691423	0.5025550622312621	down
PWY-6160	3-dehydroquinate biosynthesis II (archaea)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	499.39176105463	-3.174276892419064	0.373900966300059	0.5025550622312621	down
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	104.5970837879	2408.0940238747103	-1.2102809855941405	0.11198368294334743	0.5025550622312621	down
PWY-6165	chorismate biosynthesis II (archaea)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	982.65950792603	-3.9369679165499485	0.373900966300059	0.5025550622312621	down
PWY-6168	flavin biosynthesis III (fungi)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	779.2373818147901	-0.9481946582119829	0.6458680529989493	0.7341376939474497	down
PWY-6174	mevalonate pathway II (haloarchaea)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1367.3311432626401	-0.2168791128180117	0.8925195695288348	0.9144174614462812	ns
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	26.221074632399997	2498.68549437053	-1.0723950454739013	0.2022192352229139	0.5025550622312621	down
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	349.95118755063	-4.024380474922274	0.3103836133797264	0.5025550622312621	down
PWY-6292	superpathway of L-cysteine biosynthesis (mammalian)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	29.2367583564	679.7146048057	-1.6840910424145834	0.1951976220655339	0.5025550622312621	down
PWY-6293	superpathway of L-cysteine biosynthesis (fungi)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	220.31451186965	1.6425950709312327	0.373900966300059	0.5025550622312621	up
